Volume,Issue,Date
1,1,"2005-05-25 00:00:00"
1,2,"2005-06-01 00:00:00"
2,1,"2005-09-11 00:00:00"
2,2,"2005-10-05 00:00:00"
2,3,"2005-10-19 00:00:00"
2,4,"2005-11-02 00:00:00"
2,5,"2005-11-16 00:00:00"
2,6,"2005-11-30 00:00:00"
2,7,"2006-01-18 00:00:00"
2,8,"2006-02-08 00:00:00"
2,9,"2006-03-01 00:00:00"
2,10,"2006-04-12 00:00:00"
2,11,"2006-05-03 00:00:00"
2,12,"2006-05-24 00:00:00"
3,1,"2006-09-18 00:00:00"
3,2,"2006-10-13 00:00:00"
3,3,"2006-11-03 00:00:00"
3,4,"2006-12-31 00:00:00"
3,5,"2007-01-18 00:00:00"
3,6,"2007-02-09 00:00:00"
3,7,"2007-03-01 00:00:00"
3,8,"2007-04-12 00:00:00"
3,9,"2007-05-04 00:00:00"
3,10,"2007-05-25 00:00:00"
4,1,"2007-09-21 00:00:00"
4,2,"2007-10-14 00:00:00"
4,3,""
4,4,"2007-11-23 00:00:00"
4,5,""
4,6,"2008-02-21 00:00:00"
4,7,"2008-05-03 00:00:00"
4,8,"2008-04-18 00:00:00"
4,9,""
4,10,""
5,1,"2008-09-26 00:00:00"
5,2,""
5,3,"2009-01-16 00:00:00"
5,4,"2009-05-29 00:00:00"
5,5,""
5,6,""
5,7,""
5,8,""
6,1,"2009-09-21 00:00:00"
6,2,"2009-10-23 00:00:00"
6,3,"2009-11-20 00:00:00"
6,4,"2010-01-15 00:00:00"
6,5,"2010-02-18 00:00:00"
6,6,"2010-04-01 00:00:00"
6,7,"2010-04-29 00:00:00"
6,8,"2010-06-04 00:00:00"
7,1,"2010-09-21 00:00:00"
7,2,"2010-10-22 00:00:00"
7,3,"2010-10-07 00:00:00"
7,4,"2011-01-28 00:00:00"
7,5,"2011-02-13 00:00:00"
7,6,"2011-03-04 00:00:00"
7,7,"2011-04-01 00:00:00"
7,8,"2011-05-27 00:00:00"
8,1,"2011-09-18 00:00:00"
8,2,"2011-10-24 00:00:00"
8,3,"2011-11-28 00:00:00"
8,4,"2012-01-30 00:00:00"
8,5,"2012-02-17 00:00:00"
8,6,"2012-03-05 00:00:00"
8,7,"2012-04-01 00:00:00"
8,8,"2012-04-25 00:00:00"
8,9,"2012-05-25 00:00:00"
